Position,Name,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Gerrit Cole,Gerrit Cole,1001,P,10500,NYY@BOS,NYY,18.5
P,Shane Bieber,Shane Bieber,1002,P,9800,CLE@MIN,CLE,17.2
P,Dylan Cease,Dylan Cease,1003,P,8200,SD@LAD,SD,15.8
P,Walker Buehler,Walker Buehler,1004,P,7500,LAD@SD,LAD,14.2
P,Logan Webb,Logan Webb,1005,P,7000,SF@COL,SF,13.5
P,Blake Snell,Blake Snell,1007,P,4200,SD@LAD,SD,8.8
P,Nestor Cortes,Nestor Cortes,1008,P,3500,NYY@BOS,NYY,7.5
C,Will Smith,Will Smith,2001,C,4800,LAD@SD,LAD,9.5
C,Salvador Perez,Salvador Perez,2002,C,3200,KC@DET,KC,6.2
C,J.T. Realmuto,J.T. Realmuto,2003,C,3500,PHI@NYM,PHI,6.8
1B,Freddie Freeman,Freddie Freeman,3001,1B,5500,LAD@SD,LAD,11.2
1B,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,3002,1B,5200,TOR@TB,TOR,10.8
1B,Pete Alonso,Pete Alonso,3003,1B,3900,NYM@PHI,NYM,8.2
1B,Matt Olson,Matt Olson,3004,1B,3500,ATL@MIA,ATL,7.5
2B,Jose Altuve,Jose Altuve,4001,2B,5000,HOU@TEX,HOU,10.5
2B,Marcus Semien,Marcus Semien,4002,2B,4600,TEX@HOU,TEX,9.2
2B,Gleyber Torres,Gleyber Torres,4003,2B,3300,NYY@BOS,NYY,6.7
2B,Ozzie Albies,Ozzie Albies,4005,2B,3200,ATL@MIA,ATL,6.5
3B,Manny Machado,Manny Machado,5001,3B,5100,SD@LAD,SD,10.8
3B,Jose Ramirez,Jose Ramirez,5002,3B,5400,CLE@MIN,CLE,11.5
3B,Rafael Devers,Rafael Devers,5003,3B,3800,BOS@NYY,BOS,8.0
3B,Nolan Arenado,Nolan Arenado,5004,3B,3500,STL@MIL,STL,7.3
SS,Trea Turner,Trea Turner,6001,SS,5300,PHI@NYM,PHI,10.9
SS,Corey Seager,Corey Seager,6002,SS,5100,TEX@HOU,TEX,10.5
SS,Bo Bichette,Bo Bichette,6003,SS,3700,TOR@TB,TOR,7.5
SS,Francisco Lindor,Francisco Lindor,6005,SS,3900,NYM@PHI,NYM,7.8
OF,Aaron Judge,Aaron Judge,7001,OF,6200,NYY@BOS,NYY,13.5
OF,Mike Trout,Mike Trout,7002,OF,5800,LAA@SEA,LAA,12.2
OF,Mookie Betts,Mookie Betts,7003,OF,5600,LAD@SD,LAD,11.8
OF,Ronald Acuna Jr.,Ronald Acuna Jr.,7004,OF,5900,ATL@MIA,ATL,12.5
OF,Juan Soto,Juan Soto,7005,OF,5400,SD@LAD,SD,11.2
OF,Yordan Alvarez,Yordan Alvarez,7007,OF,5200,HOU@TEX,HOU,10.9
OF,Kyle Tucker,Kyle Tucker,7008,OF,4900,HOU@TEX,HOU,10.2
OF,Randy Arozarena,Randy Arozarena,7009,OF,3600,TB@TOR,TB,7.5
OF,George Springer,George Springer,7012,OF,3500,TOR@TB,TOR,7.3
OF,Cody Bellinger,Cody Bellinger,7013,OF,3200,CHC@CIN,CHC,6.5
OF,Bryan Reynolds,Bryan Reynolds,7016,OF,2800,PIT@WSH,PIT,5.5
OF,Jesse Winker,Jesse Winker,7017,OF,2500,MIL@STL,MIL,4.8