first_name,last_name,team,ppg_projection,value_projection,L5_fppg_avg,confirmed_order,implied_team_score,over_under
Hunter,Brown,HOU,26.5,2.32,28.2,YES,5.2,9.5
Shane,Baz,TB,21.8,2.22,19.1,YES,4.8,8.5
Logan,Gilbert,SEA,20.2,2.15,18.9,YES,4.6,8.0
Kyle,Tucker,HOU,9.8,1.96,10.2,YES,5.2,9.5
Christian,Yelich,MIL,8.9,1.93,9.4,YES,4.9,9.0
Vladimir,Guerrero Jr.,TOR,8.5,1.77,7.8,YES,4.7,8.5
Francisco,Lindor,NYM,9.2,1.88,8.9,YES,4.8,8.5
Jose,Ramirez,CLE,9.1,1.90,9.8,YES,4.5,8.0
Jorge,Polanco,SEA,7.8,1.73,7.2,YES,4.6,8.0
Jarren,Duran,BOS,8.7,1.81,9.1,YES,4.8,8.5
William,Contreras,MIL,8.2,1.75,7.9,YES,4.9,9.0
Gleyber,Torres,NYY,7.6,1.69,7.1,YES,5.1,9.0